min_dist,n_neighbors,valid_best_loss,valid_best_auc,train_best_auc,best_epoch,test_auc
0.85,30,0.526656948276703,0.8566163566163567,0.9744595766638121,51,0.8998039215686274
0.9,30,0.4870747298199609,0.8817128817128816,0.984417199130492,62,0.8854901960784314
0.95,30,0.6296465418344697,0.8555633555633555,0.9792888039874404,54,0.8933333333333333
0,35,0.7021974020125653,0.8741663741663741,0.9994675361746042,177,0.8843137254901962
0.05,35,0.7125281723129828,0.8585468585468585,0.9994771424807324,194,0.8907843137254902
0.1,35,0.7380313510506951,0.8680238680238681,0.9985823836813561,126,0.8896078431372548
0.15,35,0.617860902890267,0.8608283608283608,0.998887040818567,132,0.8921568627450981
0.2,35,0.5744093909908999,0.8615303615303614,0.9680796170651912,45,0.893921568627451
0.25,35,0.571457169629288,0.8611793611793612,0.988256976922908,71,0.8896078431372548
0.3,35,0.6525043901919529,0.8722358722358723,0.9993728454427684,189,0.8823529411764705
0.35,35,0.4863663157386496,0.8635486135486136,0.9846052082647169,61,0.8858823529411765
0.4,35,0.5046253806313142,0.863022113022113,0.9917605340008343,72,0.8954901960784315
0.45,35,0.6307617012929443,0.8717971217971218,0.9992507081219947,141,0.8752941176470588
0.5,35,0.5476587924440175,0.8555633555633555,0.972715345936807,45,0.8968627450980392
0.55,35,0.6498027181141819,0.8610038610038611,0.9981157916694113,128,0.8772549019607842
0.6,35,0.619124993632566,0.8662688662688662,0.9992342401686319,139,0.8843137254901959
0.65,35,0.6448874951938525,0.8679361179361179,0.9787467338559165,54,0.876078431372549
0.7,35,0.49474650177339846,0.8694278694278694,0.9771081724963221,51,0.8876470588235293
0.75,35,0.517859623329529,0.8597753597753598,0.975296697626419,46,0.8880392156862744
0.8,35,0.5130579974378972,0.8609161109161109,0.9782101530421798,51,0.8986274509803922
0.85,35,0.6939839495975055,0.8631098631098633,0.999191697955778,141,0.8792156862745097
0.9,35,0.6480513027073532,0.8642506142506142,0.9994689085040511,169,0.8764705882352941
0.95,35,0.4971787803220433,0.8667953667953668,0.9817905605691325,51,0.8839215686274509
0,40,0.5804286028030298,0.8574938574938574,0.9896251893814637,80,0.8890196078431372
0.05,40,0.6595128621190589,0.8595998595998595,0.9984822036317327,128,0.8796078431372549
0.1,40,0.5950073316841331,0.8656546156546157,0.9877739169576005,68,0.8888235294117647
0.15,40,0.5215772023757562,0.8584591084591084,0.9782238763366489,51,0.8876470588235296
0.2,40,0.6691432465854662,0.8613548613548614,0.9970453747008321,128,0.8884313725490197
0.25,40,0.5194127679068521,0.8548613548613548,0.9857003271633401,68,0.897843137254902
0.3,40,0.6403011685323636,0.8553001053001053,0.9988417539468195,132,0.8903921568627452
0.35,40,0.5483312104020687,0.8595998595998595,0.9951076455218146,94,0.8923529411764706
0.4,40,0.5538082477568791,0.8574938574938575,0.9962137430560131,94,0.8972549019607843
0.45,40,0.650358200221267,0.863987363987364,0.9989721252442747,147,0.8788235294117647
0.5,40,0.6287295818328857,0.8567918567918568,0.9779329424939068,54,0.8870588235294119
0.55,40,0.7074329544179487,0.8580203580203579,0.9993344202182554,189,0.8888235294117647
0.6,40,0.6401925090429009,0.8624078624078624,0.9992246338625035,189,0.8905882352941177
0.65,40,0.7224276431200914,0.8652158652158652,0.9992946226642954,156,0.8813725490196078
0.7,40,0.5492611319221408,0.8575816075816076,0.9943240454076367,87,0.8794117647058824
0.75,40,0.519175507819021,0.8645138645138646,0.9929640669257624,82,0.8876470588235293
0.8,40,0.538779349417876,0.8603896103896105,0.9957842039391345,94,0.8876470588235293
0.85,40,0.5273837330720282,0.8604773604773605,0.9935555409173749,84,0.8880392156862744
0.9,40,0.7120977783489306,0.8555633555633556,0.9992246338625037,163,0.8780392156862745
0.95,40,0.6404120652683524,0.8624956124956125,0.998822541334563,144,0.8847058823529411
0,45,0.592948814767678,0.8607406107406107,0.9889239290340996,70,0.89078431372549
0.05,45,0.5022849814583924,0.863022113022113,0.9829048920800123,58,0.891764705882353
0.1,45,0.5065658993476274,0.8525798525798527,0.977666710581209,57,0.8998039215686274
0.15,45,0.5422722880808722,0.8613548613548614,0.9949786465538063,94,0.892156862745098
0.2,45,0.7050065568691453,0.8667953667953668,0.9991052412006236,163,0.8941176470588236
0.25,45,0.572863588960755,0.8625833625833625,0.9877643106514724,68,0.8835294117647059
0.3,45,0.6774259031263014,0.8603018603018604,0.9943309070548713,90,0.8762745098039216
0.35,45,0.6442394733725004,0.8681116181116182,0.9954960147552864,90,0.8870588235294118
0.4,45,0.6273683593269216,0.8592488592488593,0.9772001185692643,54,0.8901960784313725
0.45,45,0.551336988017259,0.8588101088101088,0.9892601497485892,68,0.8894117647058823
0.5,45,0.48431517277529695,0.8690768690768691,0.9944338317633885,89,0.8896078431372548
0.55,45,0.506887745926317,0.8601263601263601,0.9873773137474475,66,0.8849019607843137
0.6,45,0.5982298598877641,0.8717971217971218,0.9806062402564609,54,0.8933333333333333
0.65,45,0.590185959854268,0.8696033696033696,0.9985919899874844,129,0.8754901960784314
0.7,45,0.6480247863870583,0.8662688662688662,0.9933510638297872,90,0.884705882352941
0.75,45,0.5875338463001694,0.8717971217971219,0.9919869683595722,80,0.8884313725490195
0.8,45,0.5762076267836899,0.8610038610038611,0.9897294864194279,70,0.8727450980392156
0.85,45,0.6365447129240099,0.8666198666198667,0.997962090771359,128,0.8888235294117647
0.9,45,0.5567051423898596,0.857932607932608,0.9904787782974331,70,0.8911764705882353
0.95,45,0.49461945180861366,0.8618813618813619,0.9920967547153239,72,0.8819607843137254
0,50,0.5411999634164848,0.8540716040716041,0.9690567156313814,45,0.8794117647058822
0.05,50,0.5864776599634167,0.8556511056511057,0.9884298904332169,68,0.8801960784313726
0.1,50,0.7712006199586865,0.8566163566163566,0.9994236216323036,190,0.8727450980392157
0.15,50,0.5200406840897553,0.8595121095121094,0.9730748962518938,46,0.8827450980392155
0.2,50,0.5160654396904225,0.8583713583713584,0.9648601321827723,41,0.891764705882353
0.25,50,0.5836268009876968,0.8604773604773605,0.9886618141097424,71,0.8831372549019608
0.3,50,0.5330055920740232,0.8681993681993683,0.9918346397909668,76,0.8898039215686275
0.35,50,0.7286295418115641,0.8518778518778519,0.9989295830314209,141,0.8841176470588235
0.4,50,0.513475686163697,0.8575816075816076,0.9747024789759129,51,0.8896078431372549
